episode,reward,epsilon,loss
0,-1.0,0.98,
1,-1.0,0.9603999999999999,
2,-1.0,0.9411919999999999,
3,-1.0,0.9223681599999999,
4,-1.0,0.9039207967999998,
5,-1.0,0.8858423808639998,
6,-1.0,0.8681255332467198,
7,-1.0,0.8507630225817854,
8,-1.0,0.8337477621301497,0.1368616670370102
9,-1.0,0.8170728068875467,0.09174748675690757
10,-1.0,0.8007313507497957,0.0911075125137965
11,-1.0,0.7847167237347998,0.08859369407097499
12,-1.0,0.7690223892601038,0.07706414328681098
13,-1.0,0.7536419414749017,0.0683558653626177
14,-1.0,0.7385691026454037,0.06333812202016513
15,-1.0,0.7237977205924956,0.030693925606707733
16,-1.0,0.7093217661806457,0.04631479415628645
17,-1.0,0.6951353308570327,0.02775563548008601
18,1.0,0.6812326242398921,0.02300990145239565
19,-1.0,0.6676079717550942,0.007312427844024367
20,-1.0,0.6542558123199923,0.013154447104574906
21,-1.0,0.6411706960735924,0.0038889191475593382
22,-1.0,0.6283472821521205,0.017324014734994207
23,-1.0,0.6157803365090782,0.019018952049211495
24,-1.0,0.6034647297788965,0.01623208899723573
25,-1.0,0.5913954351833186,0.025522776568929356
26,-1.0,0.5795675264796523,0.020639063997401133
27,-1.0,0.5679761759500592,0.014187058692591058
28,1.0,0.5566166524310581,0.022428094926807616
29,-1.0,0.5454843193824369,0.018880939369814262
30,-1.0,0.5345746329947881,0.010896856223957406
31,-1.0,0.5238831403348924,0.009957533698373785
32,-1.0,0.5134054775281945,0.01638011848424665
33,-1.0,0.5031373679776306,0.030417655284206074
34,1.0,0.493074620618078,0.022401863139950566
35,-1.0,0.48321312820571644,0.0198602641467005
36,-1.0,0.4735488656416021,0.02903963185639845
37,1.0,0.46407788832877006,0.034779337687521346
38,-1.0,0.45479633056219465,0.0149376803310588
39,-1.0,0.44570040395095073,0.023841852154065337
